Survival	Score	Name	SYMBOL
OSgood	-33.75	615_s_at	HTR3A
OSgood	-33.58	746_s_at	BSPRY
OSgood	-33.001	214053_at
OSgood	-32.66	350_s_at	MATN2
OSgood	-32.083	177_s_at	ITGA6
OSgood	-32.04	910_s_at	// POMZP3
OSgood	-31.616	208998_at	UCP2
OSgood	-31.308	148_s_at	// POMZP3
OSgood	-30.845	212560_at	C11orf32
OSgood	-30.817	227379_at	OACT1
OSgood	-30.796	423_a_at	SLFN13
OSgood	-30.252	068_s_at	ARHGAP26
OSgood	-29.897	237197_at	LEMD1
OSgood	-29.789	231644_at
OSgood	-29.131	229498_at
OSgood	-29.019	218858_at	DEPDC6
OSgood	-28.635	563595_at	SRGAP3
OSgood	-28.442	237081_at
OSgood	-28.364	895_s_at	EPN3
OSgood	-28.346	216766_at	PRKCE
OSgood	-28.265	207149_at	CDH12
OSgood	-28.094	671_s_at	HLA-DOB
OSgood	-28.06	228721_at	C3orf41
OSgood	-27.802	790_s_at	DHCR7
OSgood	-27.774	225846_at	RBM35A
OSgood	-27.767	561956_at	NPAS3
OSgood	-27.642	971_s_at	ST6GAL1
OSgood	-27.614	228996_at	RC3H1
OSgood	-27.599	226576_at	ARHGAP26
OSgood	-27.589	238501_at
OSgood	-27.283	205485_at	RYR1
OSgood	-26.91	205945_at	IL6R
OSgood	-26.835	773_s_at	GALNT12
OSgood	-26.546	792_s_at	BSPRY
OSgood	-26.481	204975_at	EMP2
OSgood	-26.317	234970_at	MTAC2D1
OSgood	-26.261	747_s_at	TAPBPL
OSgood	-26.224	553986_at	RASEF
OSgood	-26.046	209921_at	SLC7A11
OSgood	-25.921	687_s_at
OSgood	-25.727	229349_at	LIN28B
OSgood	-25.113	470_s_at	KLK11
OSgood	-25.035	234149_at	THRAP3
OSgood	-24.82	227055_at	METTL7B
OSgood	-24.811	217678_at	SLC7A11
OSgood	-24.489	244023_at	SYK
OSgood	-24.31	570338_at	D2HGDH
OSgood	-24.155	518_s_at	ELL3
OSgood	-24.071	244631_at	C642398
OSgood	-23.958	240117_at	FBN3
OSgood	-23.875	238513_at	PRRG4
OSgood	-23.574	339_x_at	D2HGDH
OSgood	-23.538	105_s_at	DSG2
OSgood	-23.538	228439_at	BATF2
OSgood	-23.533	213921_at	SST
OSgood	-23.513	204340_at	CXorf12
OSgood	-23.487	218800_at	SRD5A2L
OSgood	-23.283	213695_at	PON3
OSgood	-23.264	227725_at	6GALNAC1
OSgood	-23.203	225436_at	LOC58489
OSgood	-22.774	226403_at	TMC4
OSgood	-22.579	209498_at	CEACAM1
OSgood	-22.466	232017_at	TJP2
OSgood	-22.367	408_a_at	TK1
OSgood	-22.325	219684_at	RTP4
OSgood	-21.821	228780_at
OSgood	-21.562	229720_at	BAG1
OSgood	-21.26	171_s_at	PLEKHG4
OSgood	-21.169	227177_at	CORO2A
OSgood	-21.099	218746_at	TAPBPL
OSgood	-20.997	607_s_at	CYP51A1
OSgood	-20.946	239278_at
OSgood	-20.828	123_s_at	EIF5A
OSgood	-20.827	498_s_at	59
OSgood	-20.808	230560_at	STXBP6
OSgood	-20.683	238441_at
OSgood	-20.551	885_s_at	GALNT12
OSgood	-20.519	750_s_at	SRD5A2L
OSgood	-20.32	213432_at	OC649768
OSgood	-20.099	301_s_at	MYO5B
OSgood	-19.697	225079_at	EMP2
OSgood	-19.569	240061_at	LOC54103
OSgood	-19.22	204770_at	TAP2
OSgood	-19.122	223161_at	LCHN
OSgood	-19.075	576_a_at	ETV4
OSgood	-18.84	565598_at	FLJ20273
OSgood	-18.777	035_s_at	FLJ20273
OSgood	-17.887	556952_at	NCALD
OSgood	-17.833	230361_at	KIAA1833
OSgood	-17.586	216813_at
OSgood	-17.484	214481_at	IST1H2AM
OSgood	-17.359	202338_at	TK1
OSgood	-17.241	243444_at
OSgood	-17.18	225525_at	A-221G9.4
OSgood	-16.639	069_s_at	OC642775
OSgood	-16.616	228433_at	FLJ11236
OSgood	-15.919	229776_at	SLCO3A1
OSgood	-15.892	496_s_at	FLJ20273
OSgood	-15.706	210397_at	DEFB1
OSgood	-15.347	201641_at	BST2
OSgood	-15.259	605_s_at	PIPOX
OSgood	-15.071	243049_at	OC643831
OSgood	-14.78	237400_at	ATP5S
OSgood	-14.694	202085_at	TJP2
OSgood	-14.317	806_s_at	VAV3
OSgood	-13.684	219211_at	USP18
OSgood	-13.588	236417_at	MFN1
OSgood	-13.186	219959_at	MOCOS
OSgood	-12.951	744_s_at	SIAE
OSgood	-12.813	242321_at
OSgood	-12.504	205848_at	GAS2
OSgood	-12.475	231838_at	C20orf119
OSgood	-12.348	076_s_at	ASS
OSgood	-12.244	215602_at	FGD2
OSgood	-12.056	565863_at	TJP2
OSgood	-11.839	218960_at	TMPRSS4
OSgood	-11.711	811_s_at	CACNA2D2
OSgood	-11.65	227497_at
OSgood	-11.594	204070_at	RARRES3
OSgood	-11.577	319_a_at	KLK8
OSgood	-10.964	230964_at	FREM2
OSgood	-10.862	452_s_at	564J0863
OSgood	-10.691	554455_at	LINS1
OSgood	-10.524	228214_at
OSgood	-10.369	161_x_at	ZFP42
OSgood	-9.912	971_x_at	CUL4A
OSgood	-9.906	232535_at
OSgood	-9.69	235008_at	ANKRD10
OSgood	-9.605	483_s_at	ISG15
OSgood	-9.276	220306_at	FAM46C
OSgood	-8.997	223523_at	TMEM108
OSgood	-8.701	230673_at	PKHD1L1
OSgood	-8.61	028_s_at	CYBA
OSgood	-8.19	209529_at	PPAP2C
OSgood	-8.096	040_s_at	PSMB8
OSgood	-8.028	205328_at	CLDN10
OSgood	-7.28	235309_at
OSgood	-7.246	628_s_at	WARS
OSgood	-7.121	3323_r_at	SFN
OSgood	-6.908	670_s_at	TOMM34
OSgood	-6.908	540_s_at	SYK
OSgood	-6.561	226068_at	SYK
OSgood	-6.517	201785_at	RNASE1
OSgood	-6.461	230129_at	C10orf89
OSgood	-6.184	235157_at	PARP14
OSgood	-6.153	225855_at	EPB41L5
OSgood	-6.137	203860_at	PCCA
OSgood	-6.097	724_s_at	COL9A3
OSgood	-5.795	232375_at	STAT1
OSgood	-5.783	226302_at
OSgood	-5.439	159_s_at	SLAMF7
OSgood	-5.366	219716_at	APOL6
OSgood	-5.156	207156_at	HIST1H2AG
OSgood	-5.103	225666_at	TMTC4
OSgood	-4.485	205969_at	AADAC
OSgood	-4.409	343_s_at	NRG1
OSgood	-4.148	239579_at	ABHD7
OSgood	-4.006	220104_at	ZC3HAV1
OSgood	-3.959	965_s_at	CAPN6
OSgood	-3.699	208814_at	HSPA4
OSgood	-3.269	227498_at
OSgood	-3.237	224_x_at	DSCR8
OSgood	-3.102	241716_at	HSPD1
OSgood	-3.079	216012_at
OSgood	-3.028	235175_at	GBP4
OSgood	-2.907	202531_at	IRF1
OSgood	-2.496	228157_at	ZNF207
OSgood	-1.831	202411_at	IFI27
OSgood	-1.823	209962_at	EPOR
OSgood	-1.608	205778_at	KLK7
OSgood	-1.593	227448_at
OSgood	-1.573	227285_at	C1orf51
OSgood	-1.566	240296_at	ZA20D1
OSgood	-1.464	219209_at	IFIH1
OSgood	-1.219	338_s_at	LRRC49
OSgood	-1.159	847_s_at	MUC1
OSgood	-1.059	776_s_at	OBSL1
OSgood	-0.819	244292_at
OSgood	-0.811	568592_at	RNF36
OSgood	-0.706	223412_at	KBTBD7
OSgood	-0.026	236191_at	CD38
OSgood	0.003	209590_at	BMP7
OSgood	0.13	233536_at	KIAA1713
OSgood	0.156	233314_at	PTEN
OSpoor	127.17	428_s_at	CALB2
OSpoor	127.528	238447_at	RBMS3
OSpoor	127.587	940_s_at	PAPPA
OSpoor	127.849	037_s_at	SFRP1
OSpoor	127.855	223276_at	MST150
OSpoor	127.86	897_s_at	SLIT2
OSpoor	127.913	223499_at	C1QTNF5
OSpoor	128.911	218729_at	LXN
OSpoor	129.028	212158_at	SDC2
OSpoor	129.439	201215_at	PLS3
OSpoor	129.708	230722_at	BNC2
OSpoor	130.094	228293_at	DEPDC7
OSpoor	130.235	975_s_at	RHOBTB3
OSpoor	130.683	209550_at	NDN
OSpoor	130.923	228141_at	OC493869
OSpoor	131.294	231993_at
OSpoor	131.446	864_x_at	PPP4R2
OSpoor	131.635	219561_at	COPZ2
OSpoor	132.148	914_s_at	SOX11
OSpoor	132.257	224822_at	DLC1
OSpoor	132.752	906_s_at	PALLD
OSpoor	134.489	209505_at	NR2F1
OSpoor	134.768	231341_at	SLC35D3
OSpoor	135.097	213069_at	HEG1
OSpoor	135.364	226065_at	PRICKLE1
OSpoor	135.371	205959_at	MMP13
OSpoor	135.983	204359_at	FLRT2
OSpoor	136.202	091_s_at	COL6A1
OSpoor	136.323	577_s_at	IGF1
OSpoor	136.339	209598_at	PNMA2
OSpoor	136.447	219779_at	ZFHX4
OSpoor	136.895	223690_at	LTBP2
OSpoor	137.102	225897_at
OSpoor	137.108	066_s_at	ENPP1
OSpoor	137.178	087_s_at	SORBS1
OSpoor	137.655	204141_at	TUBB2A
OSpoor	137.723	232453_at	GPC6
OSpoor	137.968	092_s_at	ANTXR1
OSpoor	138.221	226905_at	FAM101B
OSpoor	138.485	201185_at	HTRA1
OSpoor	138.67	228776_at	GJA7
OSpoor	138.85	213568_at	OSR2
OSpoor	139.753	208789_at	PTRF
OSpoor	139.885	228057_at	DDIT4L
OSpoor	139.93	020_s_at	HNT
OSpoor	139.993	205880_at	PRKD1
OSpoor	140.036	205206_at	KAL1
OSpoor	140.09	201939_at	PLK2
OSpoor	140.638	762_s_at	DLC1
OSpoor	141.542	227486_at	NT5E
OSpoor	141.696	212713_at	MFAP4
OSpoor	141.891	201124_at	ITGB5
OSpoor	142.179	579_s_at	TIMP2
OSpoor	142.346	426_s_at	TNFSF4
OSpoor	142.459	548_s_at	LPL
OSpoor	142.502	542_x_at	IGF1
OSpoor	142.835	561689_at
OSpoor	143.202	227209_at	CNTN1
OSpoor	143.42	060_s_at	PAPSS2
OSpoor	143.947	230130_at	SLIT2
OSpoor	144.037	202273_at	PDGFRB
OSpoor	144.235	213652_at	PCSK5
OSpoor	144.722	225790_at	MSRB3
OSpoor	144.828	790_s_at	PTRF
OSpoor	144.99	212419_at	C10orf56
OSpoor	145.332	224560_at	TIMP2
OSpoor	145.433	997_x_at	H19
OSpoor	145.503	559_s_at	PCSK5
OSpoor	146.044	725_x_at	OC283824
OSpoor	146.218	230071_at	11-Sep
OSpoor	146.528	225442_at
OSpoor	146.934	201508_at	IGFBP4
OSpoor	147.179	228335_at	CLDN11
OSpoor	147.734	204345_at	COL16A1
OSpoor	148.124	227705_at	TCEAL7
OSpoor	148.345	213844_at	HOXA5
OSpoor	148.522	215077_at
OSpoor	148.64	976_s_at	RHOBTB3
OSpoor	148.87	205407_at	RECK
OSpoor	149.166	225202_at	RHOBTB3
OSpoor	149.719	235371_at
OSpoor	149.852	235733_at	PPP4R2
OSpoor	150.066	226069_at	PRICKLE1
OSpoor	150.58	638_s_at	SPON2
OSpoor	150.582	289_a_at
OSpoor	150.999	212423_at	C10orf56
OSpoor	151.637	204163_at	EMILIN1
OSpoor	151.932	789_s_at	SEMA3C
OSpoor	151.937	209869_at	ADRA2A
OSpoor	152.113	208782_at	FSTL1
OSpoor	152.765	205525_at	CALD1
OSpoor	153.03	656_s_at	TMEM47
OSpoor	154.105	908_s_at	OMD
OSpoor	154.113	226612_at	FLJ25076
OSpoor	154.128	212915_at	PDZRN3
OSpoor	154.818	304_s_at	PDGFD
OSpoor	155.257	202391_at	BASP1
OSpoor	155.27	209496_at	RARRES2
OSpoor	156.647	239286_at
OSpoor	157.448	219700_at	PLXDC1
OSpoor	157.785	233607_at	BICC1
OSpoor	157.866	651_s_at	LAMB1
OSpoor	158.086	080_s_at	ITGBL1
OSpoor	159.48	226875_at	DOCK11
OSpoor	159.63	205100_at	GFPT2
OSpoor	160.367	646_x_at	H19
OSpoor	161.93	235944_at	HMCN1
OSpoor	162.035	226676_at	ZNF521
OSpoor	163.284	205381_at	LRRC17
OSpoor	166.047	236044_at	PPAPDC1A
OSpoor	166.401	203417_at	MFAP2
OSpoor	166.616	243864_at	CCDC80
OSpoor	167.347	219410_at	TMEM45A
OSpoor	168.759	204451_at	FZD1
OSpoor	169.138	907_s_at	PALLD
OSpoor	169.799	213001_at	ANGPTL2
OSpoor	170.411	202465_at	PCOLCE
OSpoor	171.186	205499_at	SRPX2
OSpoor	171.858	202409_at	C11orf43
OSpoor	172.553	226677_at	ZNF521
OSpoor	172.756	205330_at	MN1
OSpoor	173.286	222288_at	PPP4R2
OSpoor	173.291	148_s_at	TIMP3
OSpoor	173.757	235521_at	HOXA3
OSpoor	173.886	228821_at
OSpoor	175.518	688_s_at	PHLDB2
OSpoor	175.913	202007_at	NID1
OSpoor	176.331	228396_at
OSpoor	177.62	232090_at	DNM3
OSpoor	179.48	213247_at	SVEP1
OSpoor	179.898	219179_at	DACT1
OSpoor	180.467	213496_at	LPPR4
OSpoor	180.919	214043_at	PTPRD
OSpoor	181.296	201289_at	CYR61
OSpoor	181.577	764_s_at	CYR61
OSpoor	182.31	396_s_at	ASPN
OSpoor	182.513	203666_at	CXCL12
OSpoor	183.169	135_x_at	TIMP3
OSpoor	183.598	201505_at	LAMB1
OSpoor	183.619	221898_at	PDPN
OSpoor	184.157	988_s_at	C1QTNF3
OSpoor	184.458	227059_at	GPC6
OSpoor	184.949	191_s_at	ISLR
OSpoor	185.181	218162_at	OLFML3
OSpoor	185.259	222449_at	TMEPAI
OSpoor	185.601	219655_at	C7orf10
OSpoor	185.762	231240_at	DIO2
OSpoor	185.792	213943_at	TWIST1
OSpoor	186.091	474_a_at	MOXD1
OSpoor	186.233	212764_at
OSpoor	186.387	261_x_at	BGN
OSpoor	186.741	656_s_at	LHFP
OSpoor	186.747	209101_at	CTGF
OSpoor	187.275	966_a_at	DOC1
OSpoor	187.809	214927_at	ITGBL1
OSpoor	188.191	558199_at	FN1
OSpoor	188.602	225464_at	FRMD6
OSpoor	190.074	232805_at	COL11A1
OSpoor	190.574	203570_at	LOXL1
OSpoor	190.637	228367_at	ALPK2
OSpoor	190.97	665_s_at	SPARC
OSpoor	191.139	225481_at	FRMD6
OSpoor	192.238	209540_at	IGF1
OSpoor	192.311	149_s_at	TIMP3
OSpoor	192.708	209651_at	TGFB1I1
OSpoor	193.027	221900_at	COL8A2
OSpoor	193.305	209541_at	IGF1
OSpoor	194.419	627_s_at	SERPINE1
OSpoor	194.813	235821_at
OSpoor	194.99	998_s_at	LOXL2
OSpoor	197.693	447_s_at	GLT8D2
OSpoor	198.281	907_s_at	OMD
OSpoor	201.474	205433_at	BCHE
OSpoor	201.607	905_x_at	/// TSHZ1
OSpoor	202.037	430_x_at	COL1A1
OSpoor	203.708	224694_at	ANTXR1
OSpoor	203.887	204955_at	SRPX
OSpoor	204.874	238852_at	PRRX1
OSpoor	205.348	108_s_at	THBS1
OSpoor	205.609	228827_at
OSpoor	206.926	243140_at	ACTA2
OSpoor	207.282	202363_at	SPOCK1
OSpoor	207.38	206101_at	ECM2
OSpoor	207.642	204114_at	NID2
OSpoor	208.607	209687_at	CXCL12
OSpoor	208.669	214587_at	COL8A1
OSpoor	209.222	479_s_at	PLAU
OSpoor	209.267	230493_at	TMEM46
OSpoor	211.357	156_s_at	COL6A2
OSpoor	212.466	234994_at	KIAA1913
OSpoor	213.729	222450_at	TMEPAI
OSpoor	214.821	621_s_at	PDLIM3
OSpoor	216.425	026_s_at	TNFAIP6
OSpoor	217.608	225782_at	MSRB3
OSpoor	218.008	668_s_at	PLAU
OSpoor	218.706	172_s_at	CDH11
OSpoor	218.987	227399_at	VGLL3
OSpoor	220.544	204589_at	NUAK1
OSpoor	220.561	952_s_at	ADAM12
OSpoor	221.677	232523_at	MEGF10
OSpoor	222.521	238617_at
OSpoor	225.025	076_s_at	COL3A1
OSpoor	225.043	298_s_at	LOX
OSpoor	225.095	225275_at	EDIL3
OSpoor	225.17	213429_at
OSpoor	225.591	463_s_at	EDNRA
OSpoor	226.771	235318_at	FBN1
OSpoor	228.272	231879_at	COL12A1
OSpoor	228.865	422_s_at	ITGBL1
OSpoor	228.878	876_s_at	MMP11
OSpoor	233.173	991_s_at	PRRX1
OSpoor	234.604	221911_at	ETV1
OSpoor	235.132	995_s_at	FBLN1
OSpoor	237.769	226997_at
OSpoor	238.395	131_s_at	PTGIS
OSpoor	239.272	236179_at
OSpoor	239.42	212667_at	SPARC
OSpoor	239.854	228481_at	POSTN
OSpoor	240.867	813_x_at	DCN
OSpoor	241.983	893_x_at	DCN
OSpoor	242.9	495_x_at	FN1
OSpoor	243.246	147_s_at	TIMP3
OSpoor	244.589	213790_at
OSpoor	244.629	719_x_at	FN1
OSpoor	245.797	110_s_at	THBS1
OSpoor	246.314	442_x_at	FN1
OSpoor	247.554	464_s_at	EDNRA
OSpoor	247.634	109_s_at	THBS1
OSpoor	248.079	225664_at	COL12A1
OSpoor	249.053	765_s_at	FBN1
OSpoor	249.593	161_s_at	COL3A1
OSpoor	253.621	201069_at	MMP2
OSpoor	255.926	202283_at	SERPINF1
OSpoor	256.253	464_s_at	FN1
OSpoor	256.348	878_s_at	MMP11
OSpoor	256.658	213338_at	RIS1
OSpoor	256.881	201792_at	AEBP1
OSpoor	258.075	213139_at	SNAI2
OSpoor	262.733	235182_at	C20orf82
OSpoor	263.347	271_x_at
OSpoor	263.388	612_s_at	ADH1B
OSpoor	264.656	613_s_at	ADH1B
OSpoor	264.666	226834_at
OSpoor	264.853	896_s_at	DCN
OSpoor	265.829	227070_at	GLT8D2
OSpoor	266.67	852_x_at	COL3A1
OSpoor	267.151	310_s_at	COL1A1
OSpoor	268.906	209335_at	DCN
OSpoor	270.265	173_x_at	CDH11
OSpoor	274.719	229802_at
OSpoor	277.019	325_s_at	COL5A1
OSpoor	277.578	226311_at
OSpoor	278.58	221541_at	CRISPLD2
OSpoor	279.361	766_s_at	FBN1
OSpoor	280.042	150_s_at	TIMP3
OSpoor	281.416	226930_at	FNDC1
OSpoor	284.04	713_s_at	COMP
OSpoor	289.068	450_s_at	CTSK
OSpoor	289.27	311_s_at	COL1A1
OSpoor	289.752	229554_at
OSpoor	293.092	941_s_at	COL10A1
OSpoor	293.955	468_s_at	GREM1
OSpoor	295.017	225681_at	CTHRC1
OSpoor	301.85	242_s_at	CCDC80
OSpoor	311.506	221729_at	COL5A2
OSpoor	313.229	212488_at	COL5A1
OSpoor	314.291	223278_at	GJB2
OSpoor	315.548	212489_at	COL5A1
OSpoor	315.591	744_s_at	LUM
OSpoor	316.544	232458_at	COL3A1
OSpoor	317.053	002_s_at	CXCL14
OSpoor	317.157	221730_at	COL5A2
OSpoor	317.636	620_s_at	CSPG2
OSpoor	323.354	218469_at	GREM1
OSpoor	323.665	731_x_at	CSPG2
OSpoor	324.539	226777_at
OSpoor	326.162	571_s_at	CSPG2
OSpoor	327.173	227566_at	HNT
OSpoor	328.095	511_s_at	INHBA
OSpoor	330.9	226695_at	PRRX1
OSpoor	334.568	484_s_at	CXCL14
OSpoor	337.769	619_s_at	CSPG2
OSpoor	338.508	227061_at
OSpoor	339.004	446_s_at	LOX
OSpoor	349.809	646_s_at	CSPG2
OSpoor	350.113	219087_at	ASPN
OSpoor	350.851	229479_at	OC646324
OSpoor	351.723	203980_at	FABP4
OSpoor	358.126	955_s_at	FAP
OSpoor	360.898	203083_at	THBS2
OSpoor	365.183	428_s_at	COL10A1
OSpoor	370.856	226237_at	COL8A1
OSpoor	401.131	227140_at
OSpoor	417.629	121_s_at	SFRP2
OSpoor	423.31	206439_at	DSPG3
OSpoor	438.94	204320_at	COL11A1
OSpoor	440.39	1555778_a_at	POSTN
OSpoor	466.79	210809_s_at	POSTN
OSpoor	489.21	37892_at	COL11A1
OSpoor	506.02	223122_s_at	SFRP2
PFSgood	-155.2	219873_at	COLEC11
PFSgood	-89.89	238370_x_at	EVI1
PFSgood	-89.19	241803_s_at
PFSgood	-88.45	229849_at
PFSgood	-87.09	240304_s_at	LOC646769
PFSgood	-85.69	220816_at	EDG7
PFSgood	-80.55	231077_at	C1orf192
PFSgood	-78.37	214279_s_at	NDRG2
PFSgood	-75.12	228956_at
PFSgood	-74.87	208358_s_at	UGT8
PFSgood	-73.5	206698_at	XK
PFSgood	-73.35	238375_at	EVI1
PFSgood	-69.36	224428_s_at	CDCA7
PFSgood	-66.65	210519_s_at	NQO1
PFSgood	-66.04	226248_s_at	KIAA1324
PFSgood	-65.68	205942_s_at	ACSM3
PFSgood	-65.31	219580_s_at	TMC5
PFSgood	-64.63	203757_s_at	CEACAM6
PFSgood	-64.62	208063_s_at	CAPN9
PFSgood	-64.02	235134_at
PFSgood	-63.74	223754_at	MGC13057
PFSgood	-62.85	209173_at	AGR2
PFSgood	-62.17	1552477_a_at	IRF6
PFSgood	-61.59	229254_at	SD4 /// LOC653827
PFSgood	-60.55	233198_at	LOC92497
PFSgood	-60.22	201467_s_at	NQO1
PFSgood	-60.02	243610_at	LOC138255
PFSgood	-58.59	235736_at
PFSgood	-58.21	222271_at
PFSgood	-57.76	221241_s_at	BCL2L14
PFSgood	-56.27	229085_at	LRRC3B
PFSgood	-55.35	202107_s_at	MCM2
PFSgood	-54.9	238657_at	UBXD3
PFSgood	-54.13	219978_s_at	NUSAP1
PFSgood	-53.75	209754_s_at	TMPO
PFSgood	-53.62	228195_at	MGC13057
PFSgood	-53.58	211080_s_at	NEK2
PFSgood	-53.16	223427_s_at	EPB41L4B
PFSgood	-53.03	1554918_a_at	ABCC4
PFSgood	-51.98	220591_s_at	EFHC2
PFSgood	-51.48	1559450_at	NAALADL2
PFSgood	-51.09	210377_at	ACSM3
PFSgood	-51.07	205906_at	FOXJ1
PFSgood	-51.03	229402_at	SAMD13
PFSgood	-50.81	216521_s_at	BRCC3
PFSgood	-50.78	227764_at	MGC52057
PFSgood	-50.76	223821_s_at	SUSD4
PFSgood	-50.67	202743_at	PIK3R3
PFSgood	-50.58	221520_s_at	CDCA8
PFSgood	-50.55	1555203_s_at	SLC44A4
PFSgood	-50.25	203608_at	ALDH5A1
PFSgood	-49.89	214745_at	PLCH1
PFSgood	-49.81	236225_at	GGT6
PFSgood	-49.57	206291_at	NTS
PFSgood	-48.99	204641_at	NEK2
PFSgood	-48.9	1558790_s_at	C8orf77
PFSgood	-48.35	203032_s_at	FH
PFSgood	-48.05	202870_s_at	CDC20
PFSgood	-47.69	200894_s_at	FKBP4
PFSgood	-47.06	209753_s_at	TMPO
PFSgood	-46.96	229377_at	GRTP1
PFSgood	-46.39	239010_at	LOC440157
PFSgood	-46.17	230323_s_at	TMEM45B
PFSgood	-45.98	222904_s_at	TMC5
PFSgood	-45.87	201468_s_at	NQO1
PFSgood	-45.68	222680_s_at	DTL
PFSgood	-45.33	220442_at	GALNT4
PFSgood	-45.13	206074_s_at	HMGA1
