Survival	Score	Name	SYMBOL
OSgood	-123.9	206799_at	SCGB1D2
OSgood	-121.7	210096_at	CYP4B1
OSgood	-101.1	225165_at	PPP1R1B
OSgood	-98.21	240304_s_at	LOC646769
OSgood	-94.5	220816_at	EDG7
OSgood	-93.32	220051_at	PRSS21
OSgood	-88.84	231192_at	EDG7
OSgood	-77.31	226248_s_at	KIAA1324
OSgood	-75.48	210519_s_at	NQO1
OSgood	-75.14	1570445_a_at	/// LOC649242
OSgood	-74.52	214058_at	MYCL1
OSgood	-74	223754_at	MGC13057
OSgood	-73.95	219580_s_at	TMC5
OSgood	-73.02	208358_s_at	UGT8
OSgood	-71.54	206698_at	XK
OSgood	-70.67	222271_at
OSgood	-70.64	228956_at
OSgood	-70.52	224189_x_at	EHF
OSgood	-70.05	228195_at	MGC13057
OSgood	-69.87	202489_s_at	FXYD3
OSgood	-69.33	219850_s_at	EHF
OSgood	-68.23	201467_s_at	NQO1
OSgood	-65.79	243610_at	LOC138255
OSgood	-65.55	219867_at	CHODL
OSgood	-64.77	204187_at	GMPR
OSgood	-64.47	1559078_at	BCL11A
OSgood	-64.09	221122_at	HRASLS2
OSgood	-63.73	205316_at	SLC15A2
OSgood	-63.22	235736_at
OSgood	-63.17	221241_s_at	BCL2L14
OSgood	-63	235134_at
OSgood	-62.05	219313_at	GRAMD1C
OSgood	-61.82	222932_at	EHF
OSgood	-61.54	226912_at	ZDHHC23
OSgood	-61.34	223779_at	MGC10981
OSgood	-59.97	236766_at	C8orf38
OSgood	-59.02	216521_s_at	BRCC3
OSgood	-57.47	210445_at	FABP6
OSgood	-57.15	233198_at	LOC92497
OSgood	-56.21	232361_s_at	EHF
OSgood	-55.78	223821_s_at	SUSD4
OSgood	-55.69	201468_s_at	NQO1
OSgood	-55.46	205979_at	SCGB2A1
OSgood	-55.2	235587_at	LOC202781
OSgood	-55.03	202743_at	PIK3R3
OSgood	-54.8	220442_at	GALNT4
OSgood	-54.59	205317_s_at	SLC15A2
OSgood	-54.38	204731_at	TGFBR3
OSgood	-53.95	215304_at
OSgood	-53.35	238657_at	UBXD3
OSgood	-52.73	214070_s_at	ATP10B
OSgood	-52.18	219768_at	VTCN1
OSgood	-52.1	232181_at	LOC153346
OSgood	-51.47	243582_at	SH3RF2
OSgood	-50.44	236225_at	GGT6
OSgood	-50.27	222904_s_at	TMC5
OSgood	-49.46	1556643_at	LOC93343
OSgood	-48.82	1554609_at	MGC12965
OSgood	-48.72	241397_at	EHF
OSgood	-48.5	226462_at	STXBP6
OSgood	-48.42	203032_s_at	FH
OSgood	-48.36	221088_s_at	PPP1R9A
OSgood	-48.31	205906_at	FOXJ1
OSgood	-48.01	220591_s_at	EFHC2
OSgood	-47.94	207802_at	CRISP3
OSgood	-47.91	1555173_at	STX19
OSgood	-47.43	223822_at	SUSD4
OSgood	-47.33	235167_at	LOC23117
OSgood	-46.98	206628_at	SLC5A1
OSgood	-46.97	211580_s_at	PIK3R3
OSgood	-46.54	214945_at	LOC202134
OSgood	-45.02	212531_at	LCN2
OSgood	-44.7	204973_at	GJB1
OSgood	-43.93	201688_s_at	TPD52
OSgood	-43.61	206022_at	NDP
OSgood	-43.56	204664_at	ALPP
OSgood	-43.46	224488_s_at	SPON1
OSgood	-43.25	207469_s_at	PIR
OSgood	-43.04	219121_s_at	RBM35A
OSgood	-42.89	208997_s_at	UCP2
OSgood	-42.39	219389_at	SUSD4
OSgood	-42.21	204545_at	PEX6
OSgood	-41.72	236682_at
OSgood	-41.7	230707_at	SORL1
OSgood	-40.97	205073_at	CYP2J2
OSgood	-40.58	242773_at	SLC5A1
OSgood	-40.33	232360_at	EHF
OSgood	-40.16	226213_at	ERBB3
OSgood	-40.1	231832_at	GALNT4
OSgood	-40.04	224932_at	C22orf16
OSgood	-39.96	202454_s_at	ERBB3
OSgood	-39.29	244418_at	RTN3
OSgood	-38.63	201777_s_at	KIAA0494
OSgood	-38.33	36920_at	MTM1
OSgood	-38.12	206576_s_at	CEACAM1
OSgood	-37.7	211778_s_at	OVOL2
OSgood	-37.68	235174_s_at	/// LOC644271
OSgood	-37.51	217080_s_at	HOMER2
OSgood	-37.36	220994_s_at	STXBP6
OSgood	-37.176	243584_at	PRSS23
OSgood	-36.619	203509_at	SORL1
OSgood	-36.524	236523_at	OC285556
OSgood	-36.296	470_a_at	ABHD11
OSgood	-36.167	225645_at	EHF
OSgood	-35.773	689_s_at	TPD52
OSgood	-35.684	555829_at	FAM62B
OSgood	-35.597	227647_at	KCNE3
OSgood	-35.516	235060_at	LOC23117
OSgood	-35.449	869_s_at	UNC93B1
OSgood	-35.439	222764_at	ASRGL1
OSgood	-35.411	397_s_at	GALNT3
OSgood	-34.807	557688_at	ARHGAP26
OSgood	-34.781	227782_at	ZBTB7C
OSgood	-34.196	512_s_at	PDCD8
OSgood	-34.031	857_s_at	ASRGL1
OSgood	-33.986	132_a_at	MTAC2D1
