"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"41","219479_at","SPOCK1","201069_at","COLEC11","206025_s_at","C2","230391_at","CCL4","209083_at","C1orf38","212651_at","TAPBP"
"42","201069_at","GLT8D2","212667_at","SKAP2","227266_s_at","ETV1","209732_at","CCL3L3","223303_at","JAZF1","209619_at","HLA-DOA"
"43","201852_x_at","CHSY3","221447_s_at","ID2","202803_s_at","PTAFR","221210_s_at","CCL3L1","219386_s_at","C4A","205122_at","HLA-DPA1"
"44","235182_at","COL27A1","213139_at","FAM126A","217762_s_at","C4B","214511_x_at","MS4A1","208306_x_at","C2","201309_x_at","CACNA2D2"
"45","223121_s_at","NAP1L3","229479_at","HOXA3","228937_at","PQLC3","203561_at","MAFB","204220_at","FKBP7","205107_s_at","HLA-DPB1"
"46","204451_at","ADAMTS2","210139_s_at","MPEG1","203416_at","S100A11P1","201858_s_at","FERMT3","211991_s_at","PTAFR","205471_s_at","CCL5"
"47","223278_at","LTBP2","226237_at","CYS1","213338_at","NCRNA00286B","210895_s_at","COLEC12","215193_x_at","C4B","209970_x_at","MFSD2B"
"48","216442_x_at","CTHRC1","215076_s_at","HOXA5","224414_s_at","HLA-DRA","204588_s_at","EPB41L3","1555638_a_at","PQLC3","204670_x_at","FKBP1B"
"49","219410_at","SRPX2","202765_s_at","GPNMB","205786_s_at","TWIST1","209949_at","RAB31","228532_at","NCRNA00286B","212364_at","SLC34A2"
"50","222450_at","RECK","211161_s_at","AQP1","216442_x_at","HLA-DRB5","213888_s_at","APOBEC3G","204670_x_at","HLA-DRA","228523_at","ICAM1"
"51","209955_s_at","MXRA5","204464_s_at","MS4A6A","205479_s_at","CFB","216950_s_at","HSPA7","214181_x_at","HLA-DRB5","209118_s_at","SCGB2A1"
"52","201438_at","COL6A1","206025_s_at","IKBIP","226525_at","HLA-DRB1","225763_at","TLR1","214467_at","CFB","204279_at","SCGB1D2"
"53","210495_x_at","ADAMTS12","202311_s_at","CCL5","216950_s_at","HLA-DQA1","205159_at","SELPLG","204122_at","HLA-DRB1","209312_x_at","ASRGL1"
"54","202363_at","NLGN4X","204589_at","MS4A4A","214511_x_at","PLXNC1","1554899_s_at","SLC31A2","229723_at","HLA-DQA1","203417_at","IFT81"
"55","204464_s_at","KIAA1462","201261_x_at","MS4A7","204619_s_at","HLA-DQB1","219607_s_at","COL15A1","205686_s_at","PLXNC1","228915_at","LAMA1"
"56","225681_at","COL6A2","226777_at","CCL3","210495_x_at","OSBPL3","219243_at","GPR65","230925_at","TMEM98","212365_at","NUAK1"
"57","225790_at","SNAI2","217764_s_at","MS4A14","226834_at","CCL2","203761_at","CCR7","201721_s_at","RNF19B","212531_at","PSME2P2"
