"","C1.vs..C2...Affy","C1.vs..C2...Gene","C1.vs..C4...Affy","C1.vs..C4...Gene","C1.vs..C5...Affy","C1.vs..C5...Gene","C2.vs..C4...Affy","C2.vs..C4...Gene","C2.vs..C5...Affy","C2.vs..C5...Gene","C4.vs..C5...Affy","C4.vs..C5...Gene"
"454","205692_s_at","AAAAAAAAAA","232805_at","DARC","226818_at","CILP","217179_x_at","AAAAAAAAAA","202357_s_at","KLK8","218847_at","JARID2"
"455","205381_at","AAAAAAAAAA","210140_at","PRKCB","201866_s_at","RASSF4","219087_at","AAAAAAAAAA","209276_s_at","ERAP2","208965_s_at","MT2A"
"456","220816_at","AAAAAAAAAA","202686_s_at","TPM1","203305_at","TMEM158","206214_at","AAAAAAAAAA","203603_s_at","SYT11","228865_at","PCDHB6"
"457","211071_s_at","AAAAAAAAAA","204787_at","SERPINF1","211529_x_at","SCD","211634_x_at","AAAAAAAAAA","209827_s_at","IQCA1","1554608_at","MT1E"
"458","204533_at","AAAAAAAAAA","213416_at","EMILIN1","212067_s_at","AOAH","220146_at","AAAAAAAAAA","207180_s_at","KLK10","209396_s_at","PLCB4"
"459","232235_at","AAAAAAAAAA","222885_at","SFRP1","222484_s_at","DOCK8","218468_s_at","AAAAAAAAAA","208983_s_at","KLK11","202149_at","NLGN1"
"460","203549_s_at","AAAAAAAAAA","209596_at","SRGN","225481_at","CTSB","226777_at","AAAAAAAAAA","217933_s_at","SFRP4","231130_at","PPP1R16A"
"461","228640_at","AAAAAAAAAA","235593_at","AEBP1","207375_s_at","AQP9","216560_x_at","AAAAAAAAAA","223405_at","NETO2","223551_at","TMEM178"
"462","204913_s_at","AAAAAAAAAA","216950_s_at","SLAMF8","206219_s_at","C10orf10","204430_s_at","AAAAAAAAAA","206662_at","TPST2","215164_at","MT1F"
"463","228057_at","AAAAAAAAAA","219602_s_at","HNMT","244352_at","RCAN1","211881_x_at","AAAAAAAAAA","221816_s_at","DNMT3A","213110_s_at","MT1G"
"464","212942_s_at","AAAAAAAAAA","221935_s_at","FBN1","206439_at","CHRDL1","203666_at","AAAAAAAAAA","208296_x_at","ALOX5AP","205778_at","FAM38A"
"465","229580_at","AAAAAAAAAA","211964_at","MSR1","204150_at","SCUBE3","209795_at","AAAAAAAAAA","242946_at","NAP1L1","212657_s_at","PSD3"
"466","241457_at","AAAAAAAAAA","222235_s_at","DPYD","209200_at","C10orf116","201438_at","AAAAAAAAAA","228726_at","CXCR7","208147_s_at","SLC16A10"
"467","225288_at","AAAAAAAAAA","203650_at","EDIL3","228869_at","PIK3AP1","212063_at","AAAAAAAAAA","206710_s_at","MARCH1","204747_at","NUPR1"
"468","231766_s_at","AAAAAAAAAA","219777_at","DCLK1","211911_x_at","TACC1","227458_at","AAAAAAAAAA","206082_at","TUB","208949_s_at","WLS"
"469","235570_at","AAAAAAAAAA","203477_at","PCSK5","222592_s_at","MAF","229802_at","AAAAAAAAAA","227353_at","PARP10","238865_at","ZIC1"
"470","219159_s_at","AAAAAAAAAA","211981_at","JAM2","226549_at","CORO1A","203477_at","AAAAAAAAAA","241891_at","PAX2","219683_at","MT1H"
"471","213844_at","AAAAAAAAAA","205525_at","FIBIN","213193_x_at","IFI35","215446_s_at","AAAAAAAAAA","229295_at","DDX58","209515_s_at","ACSL5"
"472","204359_at","AAAAAAAAAA","236035_at","CD14","219874_at","ALOX5","228481_at","AAAAAAAAAA","235593_at","NKG7","209395_at","LGALS3"
"473","219778_at","AAAAAAAAAA","205574_x_at","CCND2","209473_at","CLEC5A","231577_s_at","AAAAAAAAAA","205119_s_at","RNFT2","213142_x_at","MT1X"
"474","204337_at","AAAAAAAAAA","210170_at","SEPT6","202180_s_at","UCHL1","217022_s_at","AAAAAAAAAA","214038_at","IGSF6","229414_at","TFAP2C"
"475","204939_s_at","AAAAAAAAAA","213764_s_at","GOLIM4","235766_x_at","SGMS2","211991_s_at","AAAAAAAAAA","219593_at","CNKSR3","227070_at","FZD5"
"476","225911_at","AAAAAAAAAA","209765_at","TGM2","214574_x_at","CA2","211668_s_at","AAAAAAAAAA","215925_s_at","SIGLEC10","211742_s_at","ST3GAL6"
"477","203548_s_at","AAAAAAAAAA","228863_at","EFEMP1","1555229_a_at","IGLL3P","221760_at","AAAAAAAAAA","219403_s_at","LY86","205794_s_at","BMP7"
"478","238584_at","AAAAAAAAAA","203185_at","OSTM1","204463_s_at","DACT1","213429_at","AAAAAAAAAA","213988_s_at","TNFSF12","225424_at","VTCN1"
"479","225165_at","AAAAAAAAAA","203417_at","UBE2QL1","223553_s_at","CYP2U1","226982_at","AAAAAAAAAA","220066_at","CAPN6","203923_s_at","CHCHD10"
"480","225728_at","AAAAAAAAAA","226612_at","CYP4B1","221875_x_at","KLK7","221019_s_at","AAAAAAAAAA","203233_at","GPR84","203706_s_at","SLC22A18"
"481","204237_at","AAAAAAAAAA","219479_at","LRRC15","227856_at","SAT1","226875_at","AAAAAAAAAA","225931_s_at","SNRPN","223313_s_at","TIMELESS"
"482","204915_s_at","AAAAAAAAAA","201621_at","COTL1","209546_s_at","GLIPR1","211635_x_at","AAAAAAAAAA","235766_x_at","STK33","231969_at","ZNF697"
"483","202437_s_at","AAAAAAAAAA","225799_at","KYNU","218589_at","SLCO2B1","210163_at","AAAAAAAAAA","205122_at","ST6GALNAC3","244132_x_at","EPSTI1"
"484","223475_at","AAAAAAAAAA","211776_s_at","CYP4X1","213261_at","KLK8","224358_s_at","AAAAAAAAAA","203148_s_at","TNFSF12-TNFSF13","226029_at","PTPRC"
"485","219463_at","AAAAAAAAAA","230130_at","VCAM1","204051_s_at","RUNX1","211633_x_at","AAAAAAAAAA","208829_at","TNFSF13","209514_s_at","TMPRSS3"
"486","213110_s_at","AAAAAAAAAA","202238_s_at","ISLR","216834_at","KLK10","216834_at","AAAAAAAAAA","223809_at","FKBP5","227194_at","MAP2"
"487","237491_at","AAAAAAAAAA","202435_s_at","ENPEP","206721_at","SFRP4","235629_at","AAAAAAAAAA","230664_at","FPR1","202145_at","FYN"
"488","238447_at","AAAAAAAAAA","213765_at","ARHGAP15","236179_at","TPST2","211641_x_at","AAAAAAAAAA","223620_at","SAMHD1","228630_at","CD74"
"489","202436_s_at","AAAAAAAAAA","230728_at","CDK14","211813_x_at","GAS1","236191_at","AAAAAAAAAA","213624_at","FPR3","223322_at","FXYD6"
"490","229435_at","AAAAAAAAAA","216044_x_at","PCDH17","217022_s_at","DNMT3A","202988_s_at","AAAAAAAAAA","218109_s_at","CBR3","212386_at","GPR161"
"491","208396_s_at","AAAAAAAAAA","219523_s_at","ENPP1","209670_at","COL9A2","204337_at","AAAAAAAAAA","209239_at","ST3GAL1","203046_s_at","CP"
"492","228766_at","AAAAAAAAAA","226065_at","COL11A1","226548_at","ALOX5AP","206641_at","AAAAAAAAAA","227512_at","LMO3","210096_at","NLRC5"
"493","203980_at","AAAAAAAAAA","210764_s_at","CYYR1","226522_at","MIAT","217235_x_at","AAAAAAAAAA","227188_at","TJP3","204141_at","CBX2"
"494","239336_at","AAAAAAAAAA","1552316_a_at","CTGF","218723_s_at","C13orf33","202391_at","AAAAAAAAAA","220146_at","IFI44L","238513_at","ARG2"
"495","201860_s_at","AAAAAAAAAA","202375_at","MOXD1","219574_at","MARCH1","214973_x_at","AAAAAAAAAA","1564077_at","IFI44","228702_at","PHC1"
"496","209555_s_at","AAAAAAAAAA","209496_at","FZD2","203523_at","TMEM2","206011_at","AAAAAAAAAA","243271_at","SALL2","210889_s_at","PERP"
"497","202409_at","AAAAAAAAAA","212713_at","CRISPLD2","207172_s_at","LGALS1","211868_x_at","AAAAAAAAAA","205668_at","NCKAP1L","202625_at","NME7"
"498","226435_at","AAAAAAAAAA","208999_at","MFAP3L","211896_s_at","COL6A3","217428_s_at","AAAAAAAAAA","203729_at","LPHN2","230022_at","TM4SF1"
"499","211122_s_at","AAAAAAAAAA","227239_at","NCF2","207173_x_at","PAX2","202404_s_at","AAAAAAAAAA","210260_s_at","STAB1","203148_s_at","RHOBTB3"
"500","209542_x_at","AAAAAAAAAA","205798_at","ZEB2","200904_at","NKG7","204052_s_at","AAAAAAAAAA","205107_s_at","GPC3","209591_s_at","C1orf114"
"501","228904_at","AAAAAAAAAA","212067_s_at","FZD1","201060_x_at","RNFT2","202437_s_at","AAAAAAAAAA","202988_s_at","HTATIP2","1557432_at","ANTXR1"
"502","201842_s_at","AAAAAAAAAA","204036_at","RUNX1T1","223344_s_at","IGSF6","221561_at","AAAAAAAAAA","223575_at","CSRP2","218502_s_at","SLC28A3"
"503","211577_s_at","AAAAAAAAAA","226769_at","ADAMTS5","223405_at","SIGLEC10","210004_at","AAAAAAAAAA","208025_s_at","C1QA","222150_s_at","TRO"
"504","219529_at","AAAAAAAAAA","201616_s_at","MMP19","235299_at","LY86","217258_x_at","AAAAAAAAAA","205495_s_at","C1QC","223378_at","KRT7"
"505","235146_at","AAAAAAAAAA","230214_at","RARRES2","209047_at","NFATC1","224342_x_at","AAAAAAAAAA","213693_s_at","CCDC74A","235634_at","STOX2"
"506","205157_s_at","AAAAAAAAAA","201124_at","ZIM2","231879_at","KLHDC8A","210072_at","AAAAAAAAAA","216834_at","C1QB","1555318_at","COBL"
"507","206488_s_at","AAAAAAAAAA","202237_at","FAM43A","202270_at","RAB25","202436_s_at","AAAAAAAAAA","225415_at","ITGAL","213668_s_at","TMEM45A"
"508","212865_s_at","AAAAAAAAAA","228636_at","SYTL2","226372_at","CAPN6","1555852_at","AAAAAAAAAA","220233_at","SLC4A11","214329_x_at","TMEM206"
"509","208937_s_at","AAAAAAAAAA","208747_s_at","FBLN1","225710_at","GPR84","221286_s_at","AAAAAAAAAA","215176_x_at","SPRY2","211026_s_at","ZNF84"
"510","223779_at","AAAAAAAAAA","227376_at","C4orf32","203243_s_at","SNRPN","219118_at","AAAAAAAAAA","236295_s_at","NCK1","221698_s_at","CXCL16"
"511","221933_at","AAAAAAAAAA","200795_at","GJC1","204255_s_at","CD99","223565_at","AAAAAAAAAA","218404_at","RTP4","212486_s_at","CYTL1"
"512","222549_at","AAAAAAAAAA","228937_at","CD84","202994_s_at","ST6GALNAC5","201109_s_at","AAAAAAAAAA","210663_s_at","STOM","221261_x_at","MARCKS"
"513","238877_at","AAAAAAAAAA","203645_s_at","GXYLT2","211582_x_at","STAR","211650_x_at","AAAAAAAAAA","211645_x_at","TUBA1A","207426_s_at","SUSD2"
"514","207016_s_at","AAAAAAAAAA","226460_at","ITGA11","200911_s_at","PAPSS2","203936_s_at","AAAAAAAAAA","200629_at","C15orf48","213954_at","EHF"
"515","226884_at","AAAAAAAAAA","203060_s_at","PPP1R3C","212681_at","ADAM9","230867_at","AAAAAAAAAA","208812_x_at","INHBA","206628_at","CLEC7A"
"516","205890_s_at","AAAAAAAAAA","214511_x_at","PDZRN3","205729_at","ADIPOQ","205941_s_at","AAAAAAAAAA","225929_s_at","HCK","220393_at","OGT"
"517","206002_at","AAAAAAAAAA","209147_s_at","SPHK1","213975_s_at","FKBP5","207173_x_at","AAAAAAAAAA","216598_s_at","IRF7","223501_at","RNF207"
"518","231240_at","AAAAAAAAAA","215049_x_at","GIMAP8","202878_s_at","FPR1","215949_x_at","AAAAAAAAAA","226473_at","SIX1","219691_at","PROM2"
"519","209612_s_at","AAAAAAAAAA","213689_x_at","GIMAP7","203666_at","SAMHD1","216598_s_at","AAAAAAAAAA","221658_s_at","RAB11FIP3","226069_at","RNF213"
"520","231192_at","AAAAAAAAAA","218404_at","GIMAP4","206171_at","FPR3","201110_s_at","AAAAAAAAAA","215313_x_at","ANKRD22","232653_at","PRICKLE1"
"521","201843_s_at","AAAAAAAAAA","217226_s_at","CD48","225464_at","ITGA5","202435_s_at","AAAAAAAAAA","215946_x_at","ST8SIA4","1556989_at","CDO1"
"522","202037_s_at","AAAAAAAAAA","201722_s_at","GIMAP6","205147_x_at","ST3GAL1","208747_s_at","AAAAAAAAAA","204638_at","CYBB","231779_at","C3"
"523","236198_at","AAAAAAAAAA","215077_at","SLAMF7","1555638_a_at","TMEM47","235229_at","AAAAAAAAAA","37145_at","POU2AF1","219768_at","BIRC3"
"524","226147_s_at","AAAAAAAAAA","227289_at","GREM1","236114_at","NEXN","217227_x_at","AAAAAAAAAA","243366_s_at","MSN","212713_at","KCNMA1"
"525","228335_at","AAAAAAAAAA","202975_s_at","GIMAP2","210754_s_at","HBEGF","204135_at","AAAAAAAAAA","210882_s_at","SLC6A13","229014_at","VASH2"
"526","205242_at","AAAAAAAAAA","225185_at","EYA4","227210_at","GAS6","211656_x_at","AAAAAAAAAA","36030_at","SQRDL","204205_at","FAM26F"
"527","220994_s_at","AAAAAAAAAA","225763_at","CCL19","205291_at","MN1","203325_s_at","AAAAAAAAAA","242584_at","ATP8A1","242592_at","CD44"
"528","209613_s_at","AAAAAAAAAA","204339_s_at","GIMAP1","202435_s_at","RASGRF2","206082_at","AAAAAAAAAA","222218_s_at","KDM5A","218692_at","IL1RN"
"529","224646_x_at","AAAAAAAAAA","203085_s_at","FRMD6","218196_at","GNAS","216853_x_at","AAAAAAAAAA","225958_at","SULF1","206697_s_at","TNNI1"
"530","210163_at","AAAAAAAAAA","238668_at","NEDD9","203052_at","CADPS","207655_s_at","AAAAAAAAAA","209514_s_at","SPINK5","210951_x_at","FLRT3"
"531","205959_at","AAAAAAAAAA","224952_at","LIMA1","212658_at","KLF6","209156_s_at","AAAAAAAAAA","207651_at","PILRA","239672_at","MEST"
"532","207175_at","AAAAAAAAAA","201667_at","RASSF2","228827_at","IFI44L","207172_s_at","AAAAAAAAAA","214366_s_at","IFI27","242907_at","NAV1"
"533","210029_at","AAAAAAAAAA","205303_at","SERPINE1","209474_s_at","IFI44","211908_x_at","AAAAAAAAAA","211530_x_at","MDFIC","209546_s_at","ATP6V1B1"
"534","AAAAAAAAAA","AAAAAAAAAA","212915_at","OGN","223276_at","SALL2","223620_at","AAAAAAAAAA","237104_at","ADAMTS9","202688_at","LRP6"
"535","AAAAAAAAAA","AAAAAAAAAA","213422_s_at","CD52","228082_at","ELTD1","213943_at","AAAAAAAAAA","200628_s_at","TMEM173","235355_at","SEMA6A"
"536","AAAAAAAAAA","AAAAAAAAAA","227080_at","GNG2","201438_at","NCKAP1L","213537_at","AAAAAAAAAA","1552486_s_at","SLC40A1","211122_s_at","TNFSF4"
"537","AAAAAAAAAA","AAAAAAAAAA","203695_s_at","TMEM176B","202995_s_at","DDIT4","203485_at","AAAAAAAAAA","208885_at","ARHGEF10","238002_at","ANKRD45"
"538","AAAAAAAAAA","AAAAAAAAAA","227059_at","HMCN1","201893_x_at","STAB1","201137_s_at","AAAAAAAAAA","232383_at","TFEC","229391_s_at","APOL6"
"539","AAAAAAAAAA","AAAAAAAAAA","214701_s_at","OMD","213283_s_at","GPC3","212998_x_at","AAAAAAAAAA","219684_at","MAGED4B","228598_at","SDK2"
"540","AAAAAAAAAA","AAAAAAAAAA","209539_at","NID2","241869_at","TMEM49","1554966_a_at","AAAAAAAAAA","218627_at","CCDC77","203973_s_at","EPAS1"
"541","AAAAAAAAAA","AAAAAAAAAA","204396_s_at","PODN","1557905_s_at","HTATIP2","205590_at","AAAAAAAAAA","209199_s_at","MAGI1","203041_s_at","CENPF"
"542","AAAAAAAAAA","AAAAAAAAAA","231879_at","ASPN","201617_x_at","DPYSL3","209924_at","AAAAAAAAAA","210592_s_at","DDX60","238778_at","SOX4"
"543","AAAAAAAAAA","AAAAAAAAAA","216235_s_at","ROBO1","201422_at","C1QA","203060_s_at","AAAAAAAAAA","213283_s_at","LAP3","202269_x_at","ZNF286A"
"544","AAAAAAAAAA","AAAAAAAAAA","213010_at","TMEM176A","213247_at","C1QC","32128_at","AAAAAAAAAA","226353_at","FAS","202869_at","CTSS"
"545","AAAAAAAAAA","AAAAAAAAAA","225968_at","PDGFRL","210972_x_at","EGFR","202007_at","AAAAAAAAAA","227048_at","ZNF423","217002_s_at","AADAC"
"546","AAAAAAAAAA","AAAAAAAAAA","205304_s_at","MLKL","227660_at","C1QB","223939_at","AAAAAAAAAA","244654_at","PAM","212624_s_at","IGFBP2"
"547","AAAAAAAAAA","AAAAAAAAAA","201842_s_at","MRVI1","204116_at","ITGAL","216542_x_at","AAAAAAAAAA","235643_at","IL13RA1","221933_at","MGLL"
"548","AAAAAAAAAA","AAAAAAAAAA","203766_s_at","CLDN11","208296_x_at","RASA3","205666_at","AAAAAAAAAA","228523_at","C2orf63","220330_s_at","IGFBP5"
"549","AAAAAAAAAA","AAAAAAAAAA","226731_at","ECM2","209687_at","SLC4A11","37892_at","AAAAAAAAAA","213492_at","FCRL5","226474_at","SAMD9"
"550","AAAAAAAAAA","AAAAAAAAAA","201185_at","IFFO1","222379_at","RTP4","209823_x_at","AAAAAAAAAA","226789_at","RAD52","241762_at","TNFAIP8"
"551","AAAAAAAAAA","AAAAAAAAAA","219607_s_at","PRSS23","211275_s_at","C7orf10","226804_at","AAAAAAAAAA","216526_x_at","SLA","205848_at","NIPAL2"
"552","AAAAAAAAAA","AAAAAAAAAA","205529_s_at","POSTN","218729_at","STOM","204320_at","AAAAAAAAAA","209515_s_at","C2orf88","1569020_at","SAMD9L"
"553","AAAAAAAAAA","AAAAAAAAAA","213836_s_at","FAM3B","205101_at","HSPB8","213240_s_at","AAAAAAAAAA","235574_at","LEPREL1","203875_at","LAMP3"
"554","AAAAAAAAAA","AAAAAAAAAA","224822_at","FZD7","222877_at","C15orf48","202995_s_at","AAAAAAAAAA","240232_at","VSIG4","229390_at","MLLT11"
"555","AAAAAAAAAA","AAAAAAAAAA","221529_s_at","FSTL1","211799_x_at","ATP10A","228592_at","AAAAAAAAAA","217767_at","ARHGAP18","207781_s_at","SMARCA1"
"556","AAAAAAAAAA","AAAAAAAAAA","227561_at","MXRA8","38487_at","LDB2","202202_s_at","AAAAAAAAAA","242814_at","MAGED4","223484_at","APOL3"
"557","AAAAAAAAAA","AAAAAAAAAA","205907_s_at","LY96","202974_at","INHBA","221911_at","AAAAAAAAAA","216576_x_at","F13A1","238451_at","MVP"
"558","AAAAAAAAAA","AAAAAAAAAA","1570165_at","FUT11","206101_at","EDNRA","227609_at","AAAAAAAAAA","219191_s_at","TET1","242551_at","ELF3"
"559","AAAAAAAAAA","AAAAAAAAAA","220988_s_at","ST6GAL2","1555759_a_at","HCK","209555_s_at","AAAAAAAAAA","214459_x_at","ANXA1","223044_at","DPP10"
"560","AAAAAAAAAA","AAAAAAAAAA","203473_at","QKI","205686_s_at","IRF7","212543_at","AAAAAAAAAA","212646_at","RFTN1","206133_at","RHOBTB1"
"561","AAAAAAAAAA","AAAAAAAAAA","1568765_at","VGLL3","218999_at","SIX1","206638_at","AAAAAAAAAA","203845_at","GBP3","205729_at","SLC35B4"
"562","AAAAAAAAAA","AAAAAAAAAA","201564_s_at","CYP1B1","218322_s_at","ANKRD22","226051_at","AAAAAAAAAA","203795_s_at","CXCL2","236161_at","ARHGDIB"
"563","AAAAAAAAAA","AAAAAAAAAA","218113_at","EIF5A2","206227_at","ST8SIA4","205890_s_at","AAAAAAAAAA","211644_x_at","LILRB2","225525_at","IFITM2"
"564","AAAAAAAAAA","AAAAAAAAAA","204220_at","MMP2","229670_at","CYBB","211654_x_at","AAAAAAAAAA","204770_at","GBP1","239082_at","IFITM1"
"565","AAAAAAAAAA","AAAAAAAAAA","209505_at","PDE10A","209901_x_at","POU2AF1","228766_at","AAAAAAAAAA","238327_at","SIGLEC1","203828_s_at","TRIM22"
"566","AAAAAAAAAA","AAAAAAAAAA","215199_at","SEMA5A","215223_s_at","COL3A1","211597_s_at","AAAAAAAAAA","210951_x_at","LIPA","203895_at","KIAA1671"
"567","AAAAAAAAAA","AAAAAAAAAA","1555728_a_at","TNFAIP6","205700_at","MSN","210029_at","AAAAAAAAAA","240440_at","GBP2","200878_at","TNFSF13B"
"568","AAAAAAAAAA","AAAAAAAAAA","212365_at","CXCL9","211528_x_at","SLC6A13","202628_s_at","AAAAAAAAAA","1553043_a_at","TRIM47","223454_at","ASTN1"
"569","AAAAAAAAAA","AAAAAAAAAA","219873_at","PPP1R3B","213982_s_at","DOCK11","203305_at","AAAAAAAAAA","227458_at","STAT1","1554179_s_at","PION"
"570","AAAAAAAAAA","AAAAAAAAAA","224773_at","NNMT","235306_at","SQRDL","203939_at","AAAAAAAAAA","202957_at","GBP4","229546_at","CENPV"
"571","AAAAAAAAAA","AAAAAAAAAA","210762_s_at","TRPC1","204735_at","C5orf46","216541_x_at","AAAAAAAAAA","210004_at","GBP5","204774_at","STEAP3"
"572","AAAAAAAAAA","AAAAAAAAAA","230422_at","NOX4","239587_at","ATP8A1","228186_s_at","AAAAAAAAAA","214051_at","DDX60L","204855_at","KDM5B"
"573","AAAAAAAAAA","AAAAAAAAAA","212588_at","TLE4","206715_at","COL5A2","206488_s_at","AAAAAAAAAA","236280_at","SLIT2","220287_at","APOL1"
"574","AAAAAAAAAA","AAAAAAAAAA","205159_at","FCER1G","204806_x_at","ACTA2","201842_s_at","AAAAAAAAAA","217118_s_at","ADCY7","204537_s_at","PKIB"
"575","AAAAAAAAAA","AAAAAAAAAA","208944_at","CD53","224964_s_at","SULF1","237625_s_at","AAAAAAAAAA","201309_x_at","STAT4","213716_s_at","S100A6"
"576","AAAAAAAAAA","AAAAAAAAAA","203243_s_at","C5orf13","232458_at","SPINK5","206247_at","AAAAAAAAAA","204908_s_at","LIN28B","213566_at","ARHGAP26"
"577","AAAAAAAAAA","AAAAAAAAAA","227856_at","PI15","205382_s_at","CYR61","226936_at","AAAAAAAAAA","202238_s_at","LAIR1","227609_at","ZBED2"
"578","AAAAAAAAAA","AAAAAAAAAA","214927_at","CRISPLD1","204017_at","IFI27","226811_at","AAAAAAAAAA","206271_at","SERPINA1","227860_at","LAMB1"
"579","AAAAAAAAAA","AAAAAAAAAA","225147_at","ARHGEF6","205099_s_at","MDFIC","203131_at","AAAAAAAAAA","202644_s_at","MYO1B","225381_at","S100A14"
"580","AAAAAAAAAA","AAAAAAAAAA","226694_at","RGS1","210260_s_at","TMEM173","228827_at","AAAAAAAAAA","226099_at","SLC7A7","230708_at","COL4A2"
"581","AAAAAAAAAA","AAAAAAAAAA","209191_at","SFRP2","220147_s_at","SLC40A1","225330_at","AAAAAAAAAA","222670_s_at","RPL31","204989_s_at","EPB41L5"
"582","AAAAAAAAAA","AAAAAAAAAA","229670_at","CD86","221870_at","TFEC","204298_s_at","AAAAAAAAAA","226459_at","NELL1","228617_at","CASP1"
"583","AAAAAAAAAA","AAAAAAAAAA","204035_at","RGS2","219519_s_at","CCDC77","212671_s_at","AAAAAAAAAA","229687_s_at","RASSF5","206280_at","COL2A1"
"584","AAAAAAAAAA","AAAAAAAAAA","204939_s_at","ZFHX4","232231_at","CALB2","231240_at","AAAAAAAAAA","205471_s_at","SAMSN1","210895_s_at","TLR3"
"585","AAAAAAAAAA","AAAAAAAAAA","227266_s_at","C1orf162","213888_s_at","MAGI1","1555229_a_at","AAAAAAAAAA","228915_at","LILRB1","207327_at","NPR1"
"586","AAAAAAAAAA","AAAAAAAAAA","209325_s_at","COL12A1","229271_x_at","HOPX","206439_at","AAAAAAAAAA","228740_at","IFIT2","1552797_s_at","CARD16"
"587","AAAAAAAAAA","AAAAAAAAAA","227554_at","LHFP","1555756_a_at","TRIM59","241981_at","AAAAAAAAAA","221601_s_at","CCDC109B","203705_s_at","FBXO6"
"588","AAAAAAAAAA","AAAAAAAAAA","221840_at","FCGR2A","203876_s_at","DDX60","212353_at","AAAAAAAAAA","210321_at","IFIT3","206857_s_at","GNAI1"
"589","AAAAAAAAAA","AAAAAAAAAA","219371_s_at","ITGAM","204929_s_at","LAP3","209612_s_at","AAAAAAAAAA","202237_at","PRDM1","203874_s_at","CHI3L1"
"590","AAAAAAAAAA","AAAAAAAAAA","204221_x_at","HSPA6","226346_at","NINJ2","203903_s_at","AAAAAAAAAA","219147_s_at","TAGAP","236798_at","NR3C1"
"591","AAAAAAAAAA","AAAAAAAAAA","230372_at","TMEM204","209651_at","THBD","209613_s_at","AAAAAAAAAA","209499_x_at","KIF1A","219403_s_at","XAF1"
"592","AAAAAAAAAA","AAAAAAAAAA","201724_s_at","FCGR3A","44790_s_at","FAS","AAAAAAAAAA","AAAAAAAAAA","220147_s_at","STK17B","228821_at","FBN3"
"593","AAAAAAAAAA","AAAAAAAAAA","240154_at","NEK6","223322_at","IL8","AAAAAAAAAA","AAAAAAAAAA","210314_x_at","IFIT1","217897_at","ARPC1A"
"594","AAAAAAAAAA","AAAAAAAAAA","229367_s_at","FCGR2C","1552701_a_at","ZNF423","AAAAAAAAAA","AAAAAAAAAA","201866_s_at","LILRB4","208433_s_at","ARPC1B"
"595","AAAAAAAAAA","AAAAAAAAAA","219501_at","LRRN4","227184_at","CD93","AAAAAAAAAA","AAAAAAAAAA","205379_at","PTPRCAP","209576_at","ATP8B2"
"596","AAAAAAAAAA","AAAAAAAAAA","201963_at","FCGR2B","229390_at","IL13RA1","AAAAAAAAAA","AAAAAAAAAA","204479_at","IDO1","204589_at","IL6R"
"597","AAAAAAAAAA","AAAAAAAAAA","230391_at","NR2F1","218404_at","SLA","AAAAAAAAAA","AAAAAAAAAA","222640_at","CLDN10","225667_s_at","KCNN3"
"598","AAAAAAAAAA","AAAAAAAAAA","226641_at","CELF2","207085_x_at","CXCL1","AAAAAAAAAA","AAAAAAAAAA","225646_at","DZIP1","216615_s_at","SAA2"
"599","AAAAAAAAAA","AAAAAAAAAA","232523_at","RAPH1","218002_s_at","CAV2","AAAAAAAAAA","AAAAAAAAAA","222294_s_at","PHC1B","211276_at","RARRES1"
"600","AAAAAAAAAA","AAAAAAAAAA","231175_at","TRAF3IP3","224358_s_at","VSIG4","AAAAAAAAAA","AAAAAAAAAA","219372_at","MNDA","219945_at","SAA1"
"601","AAAAAAAAAA","AAAAAAAAAA","228821_at","FCGR3B","206060_s_at","ARHGAP18","AAAAAAAAAA","AAAAAAAAAA","235334_at","RUNX3","214456_x_at","DCHS1"
"602","AAAAAAAAAA","AAAAAAAAAA","209946_at","GEM","235276_at","F13A1","AAAAAAAAAA","AAAAAAAAAA","235735_at","IFI16","228531_at","SECTM1"
"603","AAAAAAAAAA","AAAAAAAAAA","235944_at","BCL11B","221653_x_at","PRKCH","AAAAAAAAAA","AAAAAAAAAA","239979_at","PGAP1","216521_s_at","EFNA4"
"604","AAAAAAAAAA","AAAAAAAAAA","227058_at","SH3RF3","219716_at","DLC1","AAAAAAAAAA","AAAAAAAAAA","213932_x_at","TUSC3","218888_s_at","DHRS3"
"605","AAAAAAAAAA","AAAAAAAAAA","203320_at","PLOD2","230036_at","CAV1","AAAAAAAAAA","AAAAAAAAAA","205472_s_at","SOD2","1554899_s_at","MUC1"
"606","AAAAAAAAAA","AAAAAAAAAA","224341_x_at","DKK3","217966_s_at","CLDN1","AAAAAAAAAA","AAAAAAAAAA","235276_at","GAS2","211964_at","SRSF12"
"607","AAAAAAAAAA","AAAAAAAAAA","229285_at","PLAU","227512_at","TET1","AAAAAAAAAA","AAAAAAAAAA","203455_s_at","AIM1","204557_s_at","KIAA1549"
"608","AAAAAAAAAA","AAAAAAAAAA","221210_s_at","ELN","209606_at","ANXA1","AAAAAAAAAA","AAAAAAAAAA","227135_at","SNX20","209835_x_at","LGSN"
"609","AAAAAAAAAA","AAAAAAAAAA","238623_at","VEGFC","224694_at","CLDN16","AAAAAAAAAA","AAAAAAAAAA","205031_at","STEAP4","205880_at","TRIM29"
"610","AAAAAAAAAA","AAAAAAAAAA","214085_x_at","PDGFRB","213095_x_at","RFTN1","AAAAAAAAAA","AAAAAAAAAA","205214_at","MAP4K4","208470_s_at","PDPN"
